bits_encoding,tuple_bit,error,accuracy_mean,accuracy_std,balanced_accuracy_mean,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,test_time_mean,entry_size,kfold,runs
1024,32,0.01,0.5084837682578442,0.0011673754645893997,0.5051200083507694,0.6291599872168621,0.0006713946100767794,0.5186316833682055,0.003377818660672242,0.5684161068830678,0.0021669467221513182,8.224343616925761,3.635635998673752,10240,4,10
512,32,0.01,0.48213115885807684,0.0033828297638348738,0.5031202057959749,0.6279719884276793,0.003922842726841563,0.41880707825861646,0.005040164617986106,0.5023426199608148,0.00439651317758127,4.078508561199851,1.7078567911245046,5120,4,10
1024,24,0.01,0.4689939199072736,0.0009545046963149719,0.501708985761056,0.6266924810183625,0.0019336934060144673,0.3702929715221121,0.006389267958618607,0.46536265068566224,0.004596791527294341,8.599802750050003,3.829749074050051,10240,4,10
256,32,0.01,0.45679553212344487,0.0023359480541072465,0.5021058624161607,0.62762660945019,0.00428041609771078,0.32009505816565487,0.0050695342528164575,0.4236465162494287,0.004346938204108295,1.8289455330748752,0.7588459371745557,2560,4,10
512,24,0.01,0.4483429542548897,0.002250017420433584,0.5028608776376995,0.6292118246029061,0.00384541465221379,0.28386342194206565,0.004042706221829745,0.3911094464151019,0.004120736182793141,4.312103298449983,1.967757541525316,5120,4,10
128,32,0.01,0.43396652746048603,0.001930960298349482,0.5019308786929481,0.6286722204022989,0.004190931258922246,0.22892009071922945,0.005735175321889669,0.3352929247229389,0.005870599936477515,0.9042878158999883,0.37011320652454743,1280,4,10
1024,16,0.01,0.42867782397090437,0.0011918952241093505,0.5021628738035225,0.6295161010590278,0.0052937495419474075,0.20697574760704507,0.0026925263354091347,0.3114443625639027,0.00254573847316364,9.5876649459502,4.44119166217497,10240,4,10
256,24,0.01,0.427879778110024,0.0016702148708312764,0.5013311497122056,0.6274846128119914,0.002949259737163098,0.206278966091078,0.004808128540262156,0.31030359061209367,0.005438109078602993,1.9084503665259036,0.8189622428493749,2560,4,10
64,32,0.01,0.41591298106253133,0.002279558622333702,0.5015196858871394,0.629144636414231,0.0073533941428356635,0.15763937177427872,0.0058551793037133265,0.25176039696379265,0.007394549145419185,0.486727484126277,0.1945224486260486,640,4,10
512,16,0.01,0.41302453821550955,0.0016811771340193365,0.5009628014129078,0.6275826773890776,0.007180892891622336,0.14771726949248248,0.0014937404834528029,0.23906681329295534,0.001998236257704026,4.869312052349779,2.2808754966996276,5120,4,10
128,24,0.01,0.41199176095473794,0.00292394356196493,0.5015808593561008,0.6294668398423066,0.00927695207327385,0.141703385378868,0.005405002779495674,0.23112930757722625,0.007498149941318194,0.9390380386252217,0.39524742807589064,1280,4,10
256,16,0.01,0.40231568602434253,0.001523527340460514,0.501196904215738,0.6300734228761946,0.0077279854195472855,0.10399380843147628,0.0030800347127679546,0.17842422843181055,0.004561963708250197,2.066874930150334,0.9314474539747608,2560,4,10
64,24,0.01,0.40078855531388213,0.001125549590271013,0.5015952665511278,0.6319502043265426,0.003913952017246959,0.09665719976892227,0.0032978540637168784,0.16745901465598895,0.0050938365873065055,0.49041157787487466,0.20017995240032177,640,4,10
128,16,0.01,0.3936159966573969,0.0017169982497210249,0.5008355071695019,0.6304357644584861,0.014497560164413758,0.07013768100567037,0.0016642646462035212,0.12616241853156407,0.00272750810599978,0.9925346687741694,0.4234037567757696,1280,4,10
1024,8,0.01,0.39106240056981206,0.0015542235142985317,0.5009004218743948,0.6321721075223383,0.017737324415660966,0.05968417708212277,0.001613020990415015,0.10903863902313753,0.002617607973748141,13.553373603724868,6.970661992900022,10240,4,10
64,16,0.01,0.3870098316206315,0.0008508269132763102,0.500579070575153,0.6300826180886845,0.011698355140808756,0.0443748078169728,0.0006449772353347166,0.08286566775092219,0.001149092288487464,0.5248806717008847,0.21660310667521115,640,4,10
512,8,0.01,0.385842578957935,0.0009498046903326385,0.5001859670465079,0.6272114602056527,0.015478530364761517,0.04087193409301586,0.000563694082640482,0.07672037428078604,0.0009191176318069126,6.2554841493247295,3.2074652395996965,5120,4,10
256,8,0.01,0.38283831782534233,0.0011084349333578582,0.5005660794505732,0.6342842966350272,0.020432276536885563,0.027657158901146277,0.0016416643102818644,0.05298730830679241,0.003043621111510659,2.549345327150513,1.2454047456996704,2560,4,10
128,8,0.01,0.3797558954215527,0.0004384880302444685,0.4999716580667525,0.6245342643293599,0.01836617462418946,0.01706831613350494,0.001167997123157135,0.033211731284053206,0.0022040147230139064,1.2057820218751658,0.5957753243252228,1280,4,10
1024,4,0.01,0.3796432452220702,0.0005298770719763619,0.5001189866463236,0.6285052648778464,0.01815025024780577,0.016171306625980528,0.0011578731974392555,0.03152113042672641,0.0021995494870405497,19.89658581992553,11.20801434820023,10240,4,10
512,4,0.01,0.378745099671663,0.00036309062911668376,0.5005742253949065,0.6500901742385401,0.016263772428684313,0.011190117456479635,0.0008896918997613601,0.02199501707534046,0.0017198966396579302,9.119908126450355,5.032213895025961,5120,4,10
64,8,0.01,0.37844467406767934,0.00030516290352279086,0.5002024710497819,0.6331492042151962,0.010518068563033372,0.011104942099563708,0.0010613444121670916,0.021816408016836653,0.0020498785592593873,0.6130713474994991,0.2815810289001092,640,4,10
256,4,0.01,0.37763104398116765,0.0003069646867866242,0.500276879047698,0.6419277718521907,0.022432516323701114,0.007612091428729411,0.0006096027912734289,0.01503988722463779,0.00119031450205618,3.4789024803989377,1.7851672717501061,2560,4,10
1024,2,0.01,0.37731496324471686,0.00034607168654292493,0.5006898699472441,0.6963545125453441,0.01643954580332332,0.005096406561154669,0.0008792064175070538,0.010114937532511555,0.001733834134310598,45.7414321082746,27.69940216174982,10240,4,10
128,4,0.01,0.3770145395994856,0.0003326591695999146,0.5003529938197635,0.6620493936440639,0.02409129922313383,0.004905987639527088,0.0006491010462962556,0.009736865405624927,0.0012817012917265358,1.6744976740999844,0.9107192488498186,1280,4,10
512,2,0.01,0.3769237878597844,0.00032305556950529437,0.5006391187356369,0.7203664576529354,0.04297916356835394,0.0036782374712740124,0.0004821805600454261,0.007317444137961219,0.0009556920485092572,13.877585801474925,8.57209788415057,5120,4,10
256,2,0.01,0.37673915468584024,0.00021265082579120472,0.500639121204983,0.7604134080383829,0.0592824953916211,0.002936575743299252,0.00041775811505178506,0.0058483801144786855,0.0008284885956227714,5.128058079749826,2.9184594387499603,2560,4,10
64,4,0.01,0.3766327607414376,8.617998732422059e-05,0.5004210489640963,0.698733472096557,0.012259497259339258,0.0031670979281926254,0.0003702114069662153,0.006303346379338265,0.0007328516358041848,0.8453008669499468,0.46138154477521315,640,4,10
128,2,0.01,0.37636049651207315,0.0002069838330857082,0.5005037062331035,0.7969645979020978,0.06383068935168813,0.0018240791328733962,0.0003165029789814938,0.0036392653460616273,0.0006307311423877391,2.584249156175429,1.4919034030001057,1280,4,10
64,2,0.01,0.37621968062871625,0.00015416178566864412,0.5004241792689706,0.8004397338772338,0.02430969310229578,0.0014983585379414505,0.0002831886100115316,0.002990495057129696,0.0005644687054244618,1.3118589433508534,0.7820036589002484,640,4,10
