bits_encoding,tuple_bit,error,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,train_time_mean,test_time_mean
64,4,0.1,0.3928894284148755,0.00928344900079374,0.9908438457951168,0.02271321736182505,0.04439642228747369,0.5508097490097498,0.08888725238008192
64,4,0.01,0.3929904512664615,0.009279531122553421,0.9928105501214575,0.02282702426972237,0.04461522335503861,0.6416455615599989,0.12124313477994293
64,4,0.001,0.39290204446511556,0.00915480243365261,0.9941773087306617,0.022653803142014897,0.044287754244317704,0.746031315879809,0.16276055453010485
64,8,0.1,0.3940615308937836,0.00916373042412337,0.987277156340385,0.024703117090330223,0.04818538842488289,0.4633878670799095,0.06655027797005458
64,8,0.01,0.39447580563330986,0.008977987187022076,0.9870094419847939,0.02538598316972194,0.04948111851999705,0.5073048305100019,0.07800437266010704
64,8,0.001,0.39440002956019254,0.00896357300098064,0.9879273561530686,0.02524295236706075,0.04920988969500533,0.5548384247201102,0.09168613411002298
64,16,0.1,0.39612028152126755,0.008919670793770214,0.982151620983317,0.02821484672024161,0.05483417476028067,0.4226627659800942,0.05660515391991794
64,16,0.01,0.39627438444664176,0.00868191214724704,0.9809240187120128,0.028500797188819295,0.05536907859292909,0.44528375342990334,0.062135486820261585
64,16,0.001,0.39602434427362526,0.009497208758254076,0.9796156194915925,0.028147176676227337,0.05469885355926064,0.4673462869899959,0.06787163559001784
128,4,0.1,0.39367756428607986,0.009021697122494579,0.9886174878442944,0.024049446114252963,0.04694264870577771,1.0926368654498948,0.21070832839963258
128,4,0.01,0.39385188837428,0.009169703613980585,0.9907797582068518,0.024276219705160362,0.04737623830088072,1.3665875669100207,0.29524734820995946
128,4,0.001,0.3938063910770083,0.009209653015411108,0.989477104308539,0.024236267464067658,0.047299351924235046,1.7814408210198596,0.38538198994992856
128,8,0.1,0.39529173587125543,0.008823773167528953,0.9814733246798795,0.026877963897678915,0.05230339737776849,0.9156557668103049,0.137250015019963
128,8,0.01,0.395433218917349,0.008828781733559282,0.9817638788148804,0.027101927445366082,0.052729356636258995,0.9753675145503438,0.16555872988010376
128,8,0.001,0.3954736331633707,0.008816210140810167,0.9810309511362295,0.027187617347730786,0.0528934042961724,1.0845772290299283,0.20831319912995241
128,16,0.1,0.3981941964254375,0.008686230866538476,0.9767006753823113,0.03178676225637432,0.06153998887122571,0.8002761577100681,0.10844037944985756
128,16,0.01,0.39796434678292314,0.009074929649636803,0.9749375193995926,0.03148810445366164,0.06097385190830599,0.844698004389975,0.12030590643000323
128,16,0.001,0.3979794944671003,0.008610781631167975,0.9780661361824812,0.03139523761744642,0.06080394021428172,0.8961310350401254,0.13440330507997714
256,4,0.1,0.39490776479633777,0.00903474902596591,0.9854113829431623,0.026135881679757285,0.05090552392740851,2.379547072530149,0.4527329138400818
256,4,0.01,0.3949052478403892,0.009248756685822751,0.9854221198209696,0.0261336078542549,0.05090098923385546,3.0437873004400533,0.5728135865301011
256,4,0.001,0.39497849929947704,0.009049755427239691,0.9845462364872306,0.026275188676651694,0.05117191463259674,3.791973617859912,0.7183210652300476
256,8,0.1,0.3969614885318323,0.00895706934888007,0.9771892824819582,0.029750712791833934,0.057725447830878074,1.7490274260097796,0.29377193323980466
256,8,0.01,0.3969034051784709,0.008932263771065235,0.9779628071923504,0.029630805472557104,0.05749696446990097,2.061292279440022,0.38341775327986394
256,8,0.001,0.39704229596415297,0.008960113125752856,0.9786164121768571,0.029843882626914293,0.057899861259451416,2.432125653629846,0.4594741138498284
256,16,0.1,0.40030096258248876,0.008767829788885404,0.9731694345635103,0.03540705001072336,0.06828999903721575,1.5887285063698802,0.22081363020002756
256,16,0.01,0.4000736260668824,0.009128182303232795,0.9721286594493428,0.035077888683043526,0.06766649812040329,1.684278888660192,0.256629312519799
256,16,0.001,0.4005560800631945,0.008424483979763258,0.973462972280376,0.03579922863341143,0.06901059017541084,1.8502221150201148,0.31384218596998836
