bits_encoding,tuple_bit,error,accuracy_mean,accuracy_std,balanced_accuracy_mean,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,test_time_mean,entry_size,kfold,runs
64,2,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1895319896000158,0.7563867620750102,512,4,10
64,4,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6687257409750373,0.36563649375001434,512,4,10
64,8,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4709269461000304,0.2189902438499985,512,4,10
64,16,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.40736447747497095,0.16941832817495878,512,4,10
64,24,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3904276985250135,0.15823811884998804,512,4,10
64,32,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3770201287750183,0.15031753397501008,512,4,10
128,2,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.190576986999986,1.2655117379499985,1024,4,10
128,4,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3590772209749842,0.7500695471249628,1024,4,10
128,8,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.969059825050067,0.4719126383249659,1024,4,10
128,16,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7915171043999862,0.33805235372498144,1024,4,10
128,24,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7498812647750128,0.3074956443250244,1024,4,10
128,32,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9601894642749584,0.4179877005499748,1024,4,10
256,2,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.742700257999945,2.7683751323501387,2048,4,10
256,4,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.9842433062749025,1.6524919874500483,2048,4,10
256,8,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0720845792249745,1.0651724815999615,2048,4,10
256,16,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.667240404050017,0.7675915109748985,2048,4,10
256,24,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.5415520639750868,0.6725804654499143,2048,4,10
256,32,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.475545338949928,0.622546141874932,2048,4,10
