bits_encoding,tuple_bit,error,accuracy_mean,accuracy_std,balanced_accuracy_mean,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,test_time_mean,entry_size,kfold,runs
256,32,0.01,0.9107771322724594,0.0012673959386195056,0.912726232475151,0.949306842180978,0.0004989387977393663,0.9046774649503019,0.0019191782877887743,0.9264401502507746,0.0011060640036465697,1.1251551295749325,0.46477023685006313,1536,4,10
256,24,0.01,0.900754618523713,0.0013915110933470584,0.9092682041934751,0.9626756537138336,0.0012307258247560486,0.8741114083869501,0.002925925034969677,0.9162193609279553,0.0013147493658681047,1.167651819600178,0.4910327660752046,1536,4,10
128,32,0.01,0.8960686567760368,0.0023865390269318405,0.9049287288364648,0.960578896888576,0.0019249352236681142,0.8683407910062632,0.0044284332284688635,0.9120886267672899,0.002213010926174387,0.6057304534750984,0.24582800744997257,768,4,10
128,24,0.01,0.877103743728784,0.0022268717596273632,0.893517917102635,0.9722443049281075,0.0015961495682552693,0.82573583420527,0.004848098100925358,0.8929057692506595,0.0023013789567880192,0.6066605106001134,0.24522219697505532,768,4,10
256,16,0.01,0.8709148161895502,0.0020026627490221313,0.8897101469375365,0.976047630639618,0.0010010721070086125,0.8120952938750728,0.002785085398216389,0.8865027648917668,0.0018986423033055427,1.2735599767248913,0.5565772118001405,1536,4,10
64,32,0.01,0.8703778925983245,0.0021330283204289446,0.8877198410242808,0.9705098892443311,0.0010696959696155216,0.8161063487152282,0.0038419968848598654,0.8865464286488077,0.0021487663618230193,0.29860653547498256,0.118436169350025,384,4,10
64,24,0.01,0.8412389470760402,0.0026298222906959833,0.8671776855862213,0.9798223490825995,0.0005983452697119982,0.760063704505776,0.004683606036364898,0.855716932812456,0.0028549786311756493,0.30702371770021275,0.12321920497493011,384,4,10
128,16,0.01,0.8372446300741498,0.001114216306599775,0.8647062152564204,0.9825347585886675,0.001605898293874139,0.7513040971795075,0.00247995746087534,0.851329822301312,0.0011573176710167623,0.6685099176748281,0.2919226660751065,768,4,10
256,8,0.01,0.8088571014449196,0.006106986701986496,0.8439647922419442,0.9904354049017361,0.0010187009737212009,0.6989879178172217,0.009738198061698898,0.8192364482593828,0.006799096405437864,1.6096083933751286,0.8016304948499964,1536,4,10
64,16,0.01,0.7977707442137025,0.0037735685849314866,0.8346352838824362,0.9883921708493318,0.0007394224051260865,0.6824039010982058,0.006417271897515609,0.8070334635481181,0.004389133098787921,0.3206697253000129,0.13307544444987798,384,4,10
128,8,0.01,0.7729763915551863,0.006529094257413993,0.8158620438181912,0.9932743367365053,0.001397837741308423,0.6387657543030492,0.010255822122047713,0.7768268750327323,0.007843120163888734,0.7840583045998756,0.3684055590998923,768,4,10
256,4,0.01,0.754551480498145,0.008859527453232105,0.8017179333907071,0.9964643748143105,0.0008317748572712472,0.6069442001147474,0.01409842785838312,0.7533804826758594,0.010907819696145375,2.20460990712495,1.2084383578251163,1536,4,10
64,8,0.01,0.7384062182080229,0.018498917262944312,0.7886080484538666,0.9957572693235547,0.0008207631564014855,0.5812994302410663,0.030198051199659782,0.7328993509413823,0.024242973221092493,0.3653806883251036,0.16354516772494207,384,4,10
128,4,0.01,0.7030058609940981,0.009516637778420938,0.7604698025159906,0.9973547402361349,0.0008429677713140576,0.5231729383653148,0.015010329663799726,0.6851768567026904,0.013440936578643503,1.1328674268750092,0.6473769665250529,768,4,10
256,2,0.01,0.6846848477971584,0.012116030466995864,0.7459997943329791,0.9989705322130064,0.0005142047522730561,0.4927995886659582,0.019528550971650144,0.6536833642677288,0.020286415713943264,3.5535777339750894,2.031649578374936,1536,4,10
64,4,0.01,0.659490573263535,0.004506687171719484,0.7256525443798532,0.9984134733312512,0.0005511664202968276,0.45243842209303975,0.00733056191858345,0.6169107627420956,0.007067907600055455,0.4733407728000202,0.24379142337497797,384,4,10
128,2,0.01,0.6016858647256649,0.034747475555879974,0.6792547650793741,0.9977797493374119,0.0015153409288454433,0.3589345301587483,0.055904290703238435,0.502596228637646,0.06559777743721361,1.8289404187497893,1.055155567349948,768,4,10
64,2,0.01,0.5408283726403288,0.01356934219391155,0.630308707482394,0.9954591327506607,0.0033746990951445018,0.26080074829812133,0.02175698236345754,0.3839798405444315,0.029652365718619005,0.7898914500499359,0.49375701919975656,384,4,10
