WNN; Entry size; Tuple size; # Rams; Capacity; Error; # Hashes; Ram size; # Discriminators; Total Bits; Acc(%); Acc Std; Training(s); Training Std; Testing(s); Testing Std; Runs;
Wisard;80;20;4;;;;1048576;3;12582912;0.9810000000000001;0.019467922333931804;0.0005393971006924403;0.00011798124665053637;0.0003214520496840123;9.532029506429253e-05;20;
Dict Wisard;80;20;4;;;;156;3;6240;0.9770000000000001;0.015842979517754874;0.0004521345497778384;7.312234368774117e-05;0.00029918410000391306;0.00014418977794297138;20;
Bloom Wisard;80;20;4;100;0.10000000149011612;4;480;3;5760;0.982;0.018867962264113223;0.00036744505014212335;2.6778948457764702e-05;0.000244594949981547;2.587137724350955e-05;20;
Bloom Wisard;80;20;4;100;0.20000000298023224;3;335;3;4020;0.9690000000000001;0.020469489490458726;0.00035929275018133924;1.8170843336163724e-05;0.00023044664976623608;4.53306270836948e-06;20;
Bloom Wisard;80;20;4;100;0.30000001192092896;2;251;3;3012;0.9720000000000001;0.018330302779823376;0.0003590488500776701;2.869797916128527e-05;0.0002256366002256982;7.417391549347249e-06;20;
Bloom Wisard;80;20;4;100;0.4000000059604645;2;191;3;2292;0.968;0.02561249694973139;0.00035422820055828195;1.2031227437750684e-05;0.00022667140001431108;9.405359037831286e-06;20;
Bloom Wisard;80;20;4;100;0.5;2;145;3;1740;0.9770000000000001;0.018193405398660267;0.0003389207498912583;1.5668970912676594e-05;0.0002188170003137202;1.8476871526982378e-05;20;
Bloom Wisard;80;20;4;100;0.6000000238418579;1;107;3;1284;0.9520000000000002;0.029257477676655583;0.0003437633000430651;2.869007575308189e-05;0.00020915910045005148;6.962562238255196e-06;20;
Bloom Wisard;80;20;4;100;0.699999988079071;1;75;3;900;0.9410000000000002;0.02930870177950567;0.000366307599870197;0.0001469897137687899;0.0002099768991683959;6.731271716469199e-06;20;
Bloom Wisard;80;20;4;100;0.800000011920929;1;47;3;564;0.9070000000000003;0.03861346915261564;0.00032526539980608503;5.623037757752281e-06;0.0002072200501061161;9.268271429614509e-06;20;
Bloom Wisard;80;20;4;100;0.8999999761581421;1;22;3;264;0.8119999999999999;0.06997142273814361;0.0003374473000803846;4.4420540471085995e-05;0.00021731135002482914;4.327332690352346e-05;20;
Wisard-10fold;80;20;4;;;;1048576;3;12582912;0.9283333333333335;0.08767046886558272;0.0006099214001915243;0.0002555009410619498;8.861449518008158e-05;4.829509636228412e-05;20;
Dict Wisard-10fold;80;20;4;;;;171;3;6840;0.9303333333333333;0.09220689296962083;0.0004907915750663961;0.00011465622855745568;6.999903016549069e-05;2.6660460973369887e-05;20;
Bloom Wisard-10fold;80;20;4;135;0.10000000149011612;4;647;3;7764;0.9373333333333335;0.08528123409571937;0.00047948812005415675;6.203509278266452e-05;7.141767498978879e-05;1.017172256092034e-05;20;
Bloom Wisard-10fold;80;20;4;135;0.20000000298023224;3;453;3;5436;0.9276666666666666;0.09399231647084541;0.0004585320449405117;6.336358800463357e-05;6.760166987078264e-05;1.4579321562678183e-05;20;
Bloom Wisard-10fold;80;20;4;135;0.30000001192092896;2;339;3;4068;0.927;0.09275954578011544;0.000418576390020462;3.69360617036494e-05;6.122048000179348e-05;8.383617559882407e-06;20;
Bloom Wisard-10fold;80;20;4;135;0.4000000059604645;2;258;3;3096;0.9243333333333333;0.0979064179033564;0.0004279663701163372;3.775020424914455e-05;6.256948994632693e-05;1.1097749973408577e-05;20;
Bloom Wisard-10fold;80;20;4;135;0.5;2;195;3;2340;0.915;0.11054159599193619;0.0004267633999916143;4.444881895872502e-05;6.184847012264072e-05;1.0510645423605758e-05;20;
Bloom Wisard-10fold;80;20;4;135;0.6000000238418579;1;144;3;1728;0.9159999999999999;0.10650821564555477;0.00043882237505386;5.786308285478012e-05;6.341748508930323e-05;1.484357467510615e-05;20;
Bloom Wisard-10fold;80;20;4;135;0.699999988079071;1;101;3;1212;0.8959999999999999;0.1223183460392503;0.0004247613799270766;3.209405602736032e-05;6.267348006076645e-05;1.2649360573826538e-05;20;
Bloom Wisard-10fold;80;20;4;135;0.800000011920929;1;63;3;756;0.8746666666666667;0.13491725859454257;0.0004217358698588214;4.030251949496995e-05;6.052149487004499e-05;8.53496895416907e-06;20;
Bloom Wisard-10fold;80;20;4;135;0.8999999761581421;1;30;3;360;0.805;0.16109865852258912;0.00042254889995092527;3.3114041574398426e-05;6.167547497170744e-05;8.610527337282664e-06;20;
