fold,accuracy,precision,recall,f1,train_time,test_time
0,0.9941497910639667,0.9993678057543791,0.9892365456821027,0.9942751603403845,1.6568969555995863,0.240514655899824
1,0.9942140790742527,0.9998124604239628,0.9890334572490707,0.9943925946136032,1.7893246938998346,0.2702900377000333
2,0.9911925425908068,1.0,0.983179864947821,0.9915175166995247,1.821056430200406,0.27574385609987073
3,0.9924783027965283,1.0,0.9851145038167939,0.9925006926461244,1.7182251311998697,0.2532164739997825
4,0.9917389906782385,1.0,0.9838263058527377,0.9918446229100505,1.7139587397996365,0.2486727970004722
5,0.993635486981678,1.0,0.9876865671641791,0.993804044532691,1.7558034409998071,0.2595139447992551
6,0.9936334405144696,1.0,0.9876712328767123,0.993796240292272,1.7276223906996164,0.25132788910050297
7,0.9925080385852091,1.0,0.9859553948161542,0.9929262532144831,1.7087114501991891,0.2531246762995579
8,0.992443729903537,1.0,0.9854848672019767,0.9926885918655752,1.7372882384992407,0.26263228249954407
9,0.9894533762057878,0.9979829517323576,0.9816377171215882,0.9897396056198463,1.6983494943997357,0.2502165891004552
